prefix,"a, an","without, not"
prefix,"ab, abs, a","apart, away from"
prefix,"ad","toward"
prefix,"agere","act"
prefix,"amphi, ambi","round, both sides"
prefix,"ante","before"
prefix,"anthro","man"
prefix,"anti","against"
prefix,"aqua","water"
prefix,"archaios","ancient"
prefix,"archos","leader, first, chief "
prefix,"audio","hear"
prefix,"auto","self"
prefix,"bi","two"
prefix,"bene","well, favorable "
prefix,"bible","book"
prefix,"bio","life"
prefix,"caco","Bad"
prefix,"cide","kill"
prefix,"circum","around"
prefix,"constitutus","stand"
prefix,"corpus","body"
prefix,"credo","belief"
prefix,"demos","people"
prefix,"di","two, double"
prefix,"dia","across, through"
prefix,"dis","not, apart"
prefix,"dominus","lord"
prefix,"dynasthai","be able"
prefix,"ego","I, self"
prefix,"epi","upon, over"
prefix,"ex","out"
prefix,"federis (see also Roots section)","league, pact"
prefix,"frater","brother"
prefix,"geo","earth"
prefix,"graph (see also Roots section)","write, record"
prefix,"hetero","mixed, unlike"
prefix,"homo","same, alike"
prefix,"idem","the same"
prefix,"ideo","idea"
prefix,"idios","one's own"
prefix,"in","in"
prefix,"in, im","not"
prefix,"inter","between"
prefix,"legis (lex)","law"
prefix,"lexis","word"
prefix,"liber","free, book"
prefix,"locus","place"
prefix,"macro","large"
prefix,"mania (see Roots section also)","obsession"
prefix,"meter (see Roots section also)","measure"
prefix,"micro","small"
prefix,"mittere, mitto (see Roots section also)","send"
prefix,"mono","one, single"
prefix,"mortis","death"
prefix,"nomen","name"
prefix,"olig","few"
prefix,"pater","father"
prefix,"ped (see Roots section also)","foot"
prefix,"peri","around"
prefix,"phage (see Roots section also)","eat"
prefix,"philo","love"
prefix,"polein","sell"
prefix,"polis","city"
prefix,"poly","many"
prefix,"porto","carry"
prefix,"post","after"
prefix,"pre","before"
prefix,"pro","before, in favor of"
prefix,"psyche","mind, soul"
prefix,"publicus","people"
prefix,"riparia","river"
prefix,"scope","examine"
prefix,"scribo","write"
prefix,"solus","alone"
prefix,"subter","under, secret"
prefix,"sin","together, with"
prefix,"tele","distance"
prefix,"trans","across"
prefix,"utilis","useful"
prefix,"vide, visibil, vis","see" 
root,"acer, acid, acri","bitter, sour, sharp"
root,"acu","sharp"
root,"ag, agi, ig, act","do, move, go"
root,"ali, allo, alter","other"
root,"alt(us)","high, deep"
root,"am, amor","love, liking"
root,"Anni, annu, enni","year"
root,"anthrop","man"
root,"anti(co)","old"
root,"arch","chief, first, rule"
root,"aster, astr","star"
root,"aud, aus","hear, listen"
root,"aug, auc","increase"
root,"auto, aut","self"
root,"belli","war"
root,"bibl","book"
root,"bio","life"
root,"brev","short"
root,"cad, cas","to fall"
root,"calor","heat"
root,"cap, cip, cept","take"
root,"capit, capt","head"
root,"carn","flesh"
root,"caus, caut","burn, heat"
root,"cause, cuse, cus","cause, motive"
root,"ced, ceed, cede, cess","move, yield, go, surrender"
root,"cenetri","center"
root,"chrom","color"
root,"chron","time"
root,"cide, cise","cut down, kill"
root,"cit","call, start"
root,"civ","citizen"
root,"clam, claim","cry out"
root,"clud, clus, claus","shut"
root,"cognoac, gnosi","know"
root,"cord, cor, cardi","heart"
root,"corp","body"
